row_number,classification,matched_terms,reason,isin,ticker,name,exchange,country,mic,currency,source_provider,asset_type,instrument_type,instrument_scope
11102,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUKz,iShares MSCI UK UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11103,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUSEz,UBS BBG MSCI US Liquid Corp Sustainable UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11104,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUSSm,iShares MSCI USA Small Cap CTB Enhanced ESG UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11105,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUSSz,iShares MSCI USA Small Cap CTB Enhanced ESG UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11106,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUSl,iShares MSCI USA UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11107,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUSm,iShares MSCI USA UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11108,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUSz,iShares MSCI USA UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11109,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSWCHz,Amundi Msci Switzerland UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11110,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSWCp,Amundi Msci Switzerland UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11111,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSWUl,Amundi Msci Switzerland UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11112,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSWp,Amundi Msci Switzerland UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11113,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSX5a,iShares Core EURO STOXX 50 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11114,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSX5l,iShares Core EURO STOXX 50 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11115,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSY2d,UBS MSCI USA Selection UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11117,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CT3Cd,Global X Cleantech UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11119,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CTECa,iShares MSCI China Tech UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11121,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CTECz,iShares MSCI China Tech UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11122,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CTEGl,Global X Cleantech UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11123,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CTEKl,Global X Cleantech UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
